,Date,City,CO,NO2,SO2,O3,PM2.5,PM10,AQI
0,2025-01-01 00:00:00+00:00,Dubai,292.0,107.3,50.2,0.0,52.6,88.7,86.04
1,2025-01-01 01:00:00+00:00,Dubai,313.0,99.4,44.7,0.0,46.6,80.1,85.76
2,2025-01-01 02:00:00+00:00,Dubai,378.0,88.2,37.1,0.0,41.9,74.5,85.44666
3,2025-01-01 03:00:00+00:00,Dubai,417.0,77.2,31.3,0.0,38.8,64.0,84.956665
4,2025-01-01 04:00:00+00:00,Dubai,387.0,67.0,29.0,5.0,38.5,58.7,84.33334
5,2025-01-01 05:00:00+00:00,Dubai,330.0,57.0,28.5,12.0,36.0,50.2,83.57667
6,2025-01-01 06:00:00+00:00,Dubai,310.0,49.1,28.6,21.0,30.5,41.8,82.58667
7,2025-01-01 07:00:00+00:00,Dubai,376.0,45.0,30.0,34.0,26.2,38.5,81.61
8,2025-01-01 08:00:00+00:00,Dubai,478.0,43.0,32.0,50.0,27.9,46.7,80.82
9,2025-01-01 09:00:00+00:00,Dubai,527.0,39.3,31.6,65.0,36.6,64.3,80.19667
10,2025-01-01 10:00:00+00:00,Dubai,467.0,31.3,26.4,80.0,39.5,69.4,79.94666
11,2025-01-01 11:00:00+00:00,Dubai,353.0,21.6,18.8,94.0,38.6,71.2,79.729996
12,2025-01-01 12:00:00+00:00,Dubai,270.0,15.7,14.0,101.0,37.6,76.4,79.47666
13,2025-01-01 13:00:00+00:00,Dubai,255.0,14.9,12.6,102.0,35.3,80.3,78.823326
14,2025-01-01 14:00:00+00:00,Dubai,270.0,13.7,10.6,104.0,31.3,76.1,77.98333
15,2025-01-01 15:00:00+00:00,Dubai,281.0,12.5,8.8,106.0,24.2,59.6,77.04001
16,2025-01-01 16:00:00+00:00,Dubai,276.0,11.3,7.5,109.0,17.0,36.1,75.783325
17,2025-01-01 17:00:00+00:00,Dubai,268.0,10.0,6.4,111.0,12.7,20.5,74.183334
18,2025-01-01 18:00:00+00:00,Dubai,260.0,8.8,5.6,113.0,11.5,18.8,72.41667
19,2025-01-01 19:00:00+00:00,Dubai,253.0,7.8,5.3,113.0,11.8,20.3,70.689995
20,2025-01-01 20:00:00+00:00,Dubai,246.0,7.0,5.3,112.0,12.2,22.2,69.03333
